date,location,vectorid,price,product,unit_quantity,unit,category
1995-01-01,Canada,v735211,1.5,"Soft drinks, lemon-lime type",2.0,litres,Beverages
1995-02-01,Canada,v735165,10.29,Round steak,1.0,kilogram,Protein
1995-02-01,Canada,v735176,11.43,Sirloin steak,1.0,kilogram,Protein
1995-02-01,Canada,v735187,11.67,Prime rib roast,1.0,kilogram,Protein
1995-02-01,Canada,v735198,7.21,Blade roast,1.0,kilogram,Protein
1995-02-01,Canada,v735209,7.27,Stewing beef,1.0,kilogram,Protein
1995-02-01,Canada,v735220,3.8,Ground beef,1.0,kilogram,Protein
1995-02-01,Canada,v735221,8.56,Pork chops,1.0,kilogram,Protein
1995-02-01,Canada,v735222,5.01,Butt roast,1.0,kilogram,Others
1995-02-01,Canada,v735223,3.66,Chicken,1.0,kilogram,Protein
1995-02-01,Canada,v735166,2.91,Bacon,500.0,grams,Protein
1995-02-01,Canada,v735167,2.5,Wieners,450.0,grams,Protein
1995-02-01,Canada,v735168,3.69,Canned salmon,213.0,grams,Protein
1995-02-01,Canada,v735169,1.33,Homogenized milk,1.0,litre,Beverages
1995-02-01,Canada,v735170,1.29,Partly skimmed milk,1.0,litre,Beverages
1995-02-01,Canada,v735171,2.82,Butter,454.0,grams,Dairy
1995-02-01,Canada,v735172,2.51,Processed cheese slices,250.0,grams,Dairy
1995-02-01,Canada,v735173,1.01,Evaporated milk,385.0,millilitres,Beverages
1995-02-01,Canada,v735174,1.55,Eggs,1.0,dozen,Protein
1995-02-01,Canada,v735175,1.27,Bread,675.0,grams,Grains
1995-02-01,Canada,v735177,1.97,Soda crackers,450.0,grams,Grains
1995-02-01,Canada,v735178,0.97,Macaroni,500.0,grams,Grains
1995-02-01,Canada,v735179,3.24,Flour,2.5,kilograms,Grains
1995-02-01,Canada,v735180,3.09,Corn flakes,675.0,grams,Grains
1995-02-01,Canada,v735181,2.11,Apples,1.0,kilogram,Veg_Fruits
1995-02-01,Canada,v735182,1.27,Bananas,1.0,kilogram,Veg_Fruits
1995-02-01,Canada,v735183,1.31,Grapefruits,1.0,kilogram,Veg_Fruits
1995-02-01,Canada,v735184,1.52,Oranges,1.0,kilogram,Veg_Fruits
1995-02-01,Canada,v735185,1.43,Apple juice,1.36,litres,Beverages
1995-02-01,Canada,v735186,1.66,Orange juice,1.0,litre,Beverages
1995-02-01,Canada,v735188,0.91,Cabbage,1.0,kilogram,Veg_Fruits
1995-02-01,Canada,v735189,1.38,Carrots,1.0,kilogram,Veg_Fruits
1995-02-01,Canada,v735190,2.05,Celery,1.0,kilogram,Veg_Fruits
1995-02-01,Canada,v735191,5.84,Mushrooms,1.0,kilogram,Veg_Fruits
1995-02-01,Canada,v735192,1.13,Onions,1.0,kilogram,Veg_Fruits
1995-02-01,Canada,v735193,2.84,Potatoes,4.54,kilograms,Veg_Fruits
1995-02-01,Canada,v735194,1.66,"French fried potatoes, frozen",1.0,kilogram,Frozen
1995-02-01,Canada,v735195,0.82,"Baked beans, canned",398.0,millilitres,Plant_based
1995-02-01,Canada,v735196,1.26,"Tomatoes, canned",796.0,millilitres,Veg_Fruits
1995-02-01,Canada,v735197,1.43,Tomato juice,1.36,litres,Beverages
1995-02-01,Canada,v735199,2.3,Ketchup,1.0,litre,Other_foods
1995-02-01,Canada,v735200,1.95,"Sugar, white",2.0,kilograms,Other_foods
1995-02-01,Canada,v735201,4.15,"Coffee, roasted",300.0,grams,Beverages
1995-02-01,Canada,v735202,7.01,"Coffee, instant",200.0,grams,Beverages
1995-02-01,Canada,v735203,2.66,Tea ,72.0,bags,Beverages
1995-02-01,Canada,v735204,2.97,Cooking or salad oil,1.0,litre,Oils
1995-02-01,Canada,v735205,0.72,"Soup, canned",284.0,millilitres,Other_foods
1995-02-01,Canada,v735207,2.65,Peanut butter,500.0,grams,Other_foods
1995-02-01,Canada,v735208,1.3,Fruit flavoured crystals,2.25,litres,Beverages
1995-02-01,Canada,v735210,1.41,"Soft drinks, cola type",2.0,litres,Beverages
1995-02-01,Canada,v735211,1.5,"Soft drinks, lemon-lime type",2.0,litres,Beverages
1995-03-01,Canada,v735165,10.12,Round steak,1.0,kilogram,Protein
1995-03-01,Canada,v735176,11.41,Sirloin steak,1.0,kilogram,Protein
1995-03-01,Canada,v735187,11.78,Prime rib roast,1.0,kilogram,Protein
1995-03-01,Canada,v735198,7.36,Blade roast,1.0,kilogram,Protein
1995-03-01,Canada,v735209,7.36,Stewing beef,1.0,kilogram,Protein
1995-03-01,Canada,v735220,3.76,Ground beef,1.0,kilogram,Protein
1995-03-01,Canada,v735221,8.53,Pork chops,1.0,kilogram,Protein
1995-03-01,Canada,v735222,4.84,Butt roast,1.0,kilogram,Others
1995-03-01,Canada,v735223,3.62,Chicken,1.0,kilogram,Protein
1995-03-01,Canada,v735166,2.78,Bacon,500.0,grams,Protein
1995-03-01,Canada,v735167,2.52,Wieners,450.0,grams,Protein
1995-03-01,Canada,v735168,3.66,Canned salmon,213.0,grams,Protein
1995-03-01,Canada,v735169,1.33,Homogenized milk,1.0,litre,Beverages
1995-03-01,Canada,v735170,1.28,Partly skimmed milk,1.0,litre,Beverages
1995-03-01,Canada,v735171,2.83,Butter,454.0,grams,Dairy
1995-03-01,Canada,v735172,2.54,Processed cheese slices,250.0,grams,Dairy
1995-03-01,Canada,v735173,1.02,Evaporated milk,385.0,millilitres,Beverages
1995-03-01,Canada,v735174,1.57,Eggs,1.0,dozen,Protein
1995-03-01,Canada,v735175,1.24,Bread,675.0,grams,Grains
1995-03-01,Canada,v735177,1.93,Soda crackers,450.0,grams,Grains
1995-03-01,Canada,v735178,1.0,Macaroni,500.0,grams,Grains
1995-03-01,Canada,v735179,3.26,Flour,2.5,kilograms,Grains
1995-03-01,Canada,v735180,3.01,Corn flakes,675.0,grams,Grains
1995-03-01,Canada,v735181,2.21,Apples,1.0,kilogram,Veg_Fruits
1995-03-01,Canada,v735182,1.38,Bananas,1.0,kilogram,Veg_Fruits
1995-03-01,Canada,v735183,1.38,Grapefruits,1.0,kilogram,Veg_Fruits
1995-03-01,Canada,v735184,1.44,Oranges,1.0,kilogram,Veg_Fruits
1995-03-01,Canada,v735185,1.41,Apple juice,1.36,litres,Beverages
1995-03-01,Canada,v735186,1.65,Orange juice,1.0,litre,Beverages
1995-03-01,Canada,v735188,0.97,Cabbage,1.0,kilogram,Veg_Fruits
1995-03-01,Canada,v735189,1.45,Carrots,1.0,kilogram,Veg_Fruits
1995-03-01,Canada,v735190,2.42,Celery,1.0,kilogram,Veg_Fruits
1995-03-01,Canada,v735191,5.91,Mushrooms,1.0,kilogram,Veg_Fruits
1995-03-01,Canada,v735192,1.22,Onions,1.0,kilogram,Veg_Fruits
1995-03-01,Canada,v735193,2.85,Potatoes,4.54,kilograms,Veg_Fruits
1995-03-01,Canada,v735194,1.67,"French fried potatoes, frozen",1.0,kilogram,Frozen
1995-03-01,Canada,v735195,0.81,"Baked beans, canned",398.0,millilitres,Plant_based
1995-03-01,Canada,v735196,1.26,"Tomatoes, canned",796.0,millilitres,Veg_Fruits
1995-03-01,Canada,v735197,1.41,Tomato juice,1.36,litres,Beverages
1995-03-01,Canada,v735199,2.31,Ketchup,1.0,litre,Other_foods
1995-03-01,Canada,v735200,1.93,"Sugar, white",2.0,kilograms,Other_foods
1995-03-01,Canada,v735201,4.04,"Coffee, roasted",300.0,grams,Beverages
1995-03-01,Canada,v735202,6.91,"Coffee, instant",200.0,grams,Beverages
1995-03-01,Canada,v735203,2.63,Tea ,72.0,bags,Beverages
1995-03-01,Canada,v735204,2.92,Cooking or salad oil,1.0,litre,Oils
1995-03-01,Canada,v735205,0.72,"Soup, canned",284.0,millilitres,Other_foods
1995-03-01,Canada,v735207,2.63,Peanut butter,500.0,grams,Other_foods
1995-03-01,Canada,v735208,1.25,Fruit flavoured crystals,2.25,litres,Beverages
1995-03-01,Canada,v735210,1.32,"Soft drinks, cola type",2.0,litres,Beverages
1995-03-01,Canada,v735211,1.49,"Soft drinks, lemon-lime type",2.0,litres,Beverages
1995-04-01,Canada,v735165,10.38,Round steak,1.0,kilogram,Protein
1995-04-01,Canada,v735176,11.57,Sirloin steak,1.0,kilogram,Protein
1995-04-01,Canada,v735187,11.32,Prime rib roast,1.0,kilogram,Protein
1995-04-01,Canada,v735198,7.15,Blade roast,1.0,kilogram,Protein
1995-04-01,Canada,v735209,7.25,Stewing beef,1.0,kilogram,Protein
1995-04-01,Canada,v735220,3.83,Ground beef,1.0,kilogram,Protein
1995-04-01,Canada,v735221,8.7,Pork chops,1.0,kilogram,Protein
1995-04-01,Canada,v735222,5.13,Butt roast,1.0,kilogram,Others
1995-04-01,Canada,v735223,3.71,Chicken,1.0,kilogram,Protein
1995-04-01,Canada,v735166,2.68,Bacon,500.0,grams,Protein
1995-04-01,Canada,v735167,2.47,Wieners,450.0,grams,Protein
1995-04-01,Canada,v735168,3.61,Canned salmon,213.0,grams,Protein
1995-04-01,Canada,v735169,1.34,Homogenized milk,1.0,litre,Beverages
1995-04-01,Canada,v735170,1.29,Partly skimmed milk,1.0,litre,Beverages
1995-04-01,Canada,v735171,2.84,Butter,454.0,grams,Dairy
1995-04-01,Canada,v735172,2.54,Processed cheese slices,250.0,grams,Dairy
1995-04-01,Canada,v735173,1.02,Evaporated milk,385.0,millilitres,Beverages
1995-04-01,Canada,v735174,1.59,Eggs,1.0,dozen,Protein
1995-04-01,Canada,v735175,1.26,Bread,675.0,grams,Grains
1995-04-01,Canada,v735177,1.94,Soda crackers,450.0,grams,Grains
1995-04-01,Canada,v735178,0.98,Macaroni,500.0,grams,Grains
1995-04-01,Canada,v735179,3.17,Flour,2.5,kilograms,Grains
1995-04-01,Canada,v735180,2.99,Corn flakes,675.0,grams,Grains
1995-04-01,Canada,v735181,2.22,Apples,1.0,kilogram,Veg_Fruits
1995-04-01,Canada,v735182,1.32,Bananas,1.0,kilogram,Veg_Fruits
1995-04-01,Canada,v735183,1.44,Grapefruits,1.0,kilogram,Veg_Fruits
1995-04-01,Canada,v735184,1.69,Oranges,1.0,kilogram,Veg_Fruits
1995-04-01,Canada,v735185,1.42,Apple juice,1.36,litres,Beverages
1995-04-01,Canada,v735186,1.67,Orange juice,1.0,litre,Beverages
1995-04-01,Canada,v735188,0.98,Cabbage,1.0,kilogram,Veg_Fruits
1995-04-01,Canada,v735189,1.71,Carrots,1.0,kilogram,Veg_Fruits
1995-04-01,Canada,v735190,2.44,Celery,1.0,kilogram,Veg_Fruits
1995-04-01,Canada,v735191,5.87,Mushrooms,1.0,kilogram,Veg_Fruits
1995-04-01,Canada,v735192,1.33,Onions,1.0,kilogram,Veg_Fruits
1995-04-01,Canada,v735193,2.88,Potatoes,4.54,kilograms,Veg_Fruits
1995-04-01,Canada,v735194,1.69,"French fried potatoes, frozen",1.0,kilogram,Frozen
1995-04-01,Canada,v735195,0.8,"Baked beans, canned",398.0,millilitres,Plant_based
1995-04-01,Canada,v735196,1.23,"Tomatoes, canned",796.0,millilitres,Veg_Fruits
1995-04-01,Canada,v735197,1.37,Tomato juice,1.36,litres,Beverages
1995-04-01,Canada,v735199,2.23,Ketchup,1.0,litre,Other_foods
1995-04-01,Canada,v735200,1.96,"Sugar, white",2.0,kilograms,Other_foods
1995-04-01,Canada,v735201,3.99,"Coffee, roasted",300.0,grams,Beverages
1995-04-01,Canada,v735202,6.95,"Coffee, instant",200.0,grams,Beverages
1995-04-01,Canada,v735203,2.61,Tea ,72.0,bags,Beverages
1995-04-01,Canada,v735204,2.96,Cooking or salad oil,1.0,litre,Oils
1995-04-01,Canada,v735205,0.71,"Soup, canned",284.0,millilitres,Other_foods
1995-04-01,Canada,v735207,2.6,Peanut butter,500.0,grams,Other_foods
1995-04-01,Canada,v735208,1.31,Fruit flavoured crystals,2.25,litres,Beverages
1995-04-01,Canada,v735210,1.29,"Soft drinks, cola type",2.0,litres,Beverages
1995-04-01,Canada,v735211,1.42,"Soft drinks, lemon-lime type",2.0,litres,Beverages
1995-05-01,Canada,v735165,10.0,Round steak,1.0,kilogram,Protein
1995-05-01,Canada,v735176,11.37,Sirloin steak,1.0,kilogram,Protein
1995-05-01,Canada,v735187,12.01,Prime rib roast,1.0,kilogram,Protein
1995-05-01,Canada,v735198,6.67,Blade roast,1.0,kilogram,Protein
1995-05-01,Canada,v735209,7.26,Stewing beef,1.0,kilogram,Protein
1995-05-01,Canada,v735220,3.79,Ground beef,1.0,kilogram,Protein
1995-05-01,Canada,v735221,8.38,Pork chops,1.0,kilogram,Protein
1995-05-01,Canada,v735222,4.96,Butt roast,1.0,kilogram,Others
1995-05-01,Canada,v735223,3.71,Chicken,1.0,kilogram,Protein
1995-05-01,Canada,v735166,2.78,Bacon,500.0,grams,Protein
1995-05-01,Canada,v735167,2.35,Wieners,450.0,grams,Protein
1995-05-01,Canada,v735168,3.66,Canned salmon,213.0,grams,Protein
1995-05-01,Canada,v735169,1.34,Homogenized milk,1.0,litre,Beverages
1995-05-01,Canada,v735170,1.29,Partly skimmed milk,1.0,litre,Beverages
1995-05-01,Canada,v735171,2.83,Butter,454.0,grams,Dairy
1995-05-01,Canada,v735172,2.53,Processed cheese slices,250.0,grams,Dairy
1995-05-01,Canada,v735173,1.04,Evaporated milk,385.0,millilitres,Beverages
1995-05-01,Canada,v735174,1.59,Eggs,1.0,dozen,Protein
1995-05-01,Canada,v735175,1.25,Bread,675.0,grams,Grains
1995-05-01,Canada,v735177,1.87,Soda crackers,450.0,grams,Grains
1995-05-01,Canada,v735178,1.0,Macaroni,500.0,grams,Grains
1995-05-01,Canada,v735179,3.3,Flour,2.5,kilograms,Grains
1995-05-01,Canada,v735180,3.0,Corn flakes,675.0,grams,Grains
1995-05-01,Canada,v735181,2.24,Apples,1.0,kilogram,Veg_Fruits
1995-05-01,Canada,v735182,1.28,Bananas,1.0,kilogram,Veg_Fruits
1995-05-01,Canada,v735183,1.55,Grapefruits,1.0,kilogram,Veg_Fruits
1995-05-01,Canada,v735184,1.79,Oranges,1.0,kilogram,Veg_Fruits
1995-05-01,Canada,v735185,1.41,Apple juice,1.36,litres,Beverages
1995-05-01,Canada,v735186,1.68,Orange juice,1.0,litre,Beverages
1995-05-01,Canada,v735188,1.35,Cabbage,1.0,kilogram,Veg_Fruits
1995-05-01,Canada,v735189,1.82,Carrots,1.0,kilogram,Veg_Fruits
1995-05-01,Canada,v735190,2.52,Celery,1.0,kilogram,Veg_Fruits
1995-05-01,Canada,v735191,5.84,Mushrooms,1.0,kilogram,Veg_Fruits
1995-05-01,Canada,v735192,1.43,Onions,1.0,kilogram,Veg_Fruits
1995-05-01,Canada,v735193,2.95,Potatoes,4.54,kilograms,Veg_Fruits
1995-05-01,Canada,v735194,1.66,"French fried potatoes, frozen",1.0,kilogram,Frozen
1995-05-01,Canada,v735195,0.8,"Baked beans, canned",398.0,millilitres,Plant_based
1995-05-01,Canada,v735196,1.22,"Tomatoes, canned",796.0,millilitres,Veg_Fruits
1995-05-01,Canada,v735197,1.41,Tomato juice,1.36,litres,Beverages
1995-05-01,Canada,v735199,2.22,Ketchup,1.0,litre,Other_foods
1995-05-01,Canada,v735200,1.97,"Sugar, white",2.0,kilograms,Other_foods
1995-05-01,Canada,v735201,4.03,"Coffee, roasted",300.0,grams,Beverages
1995-05-01,Canada,v735202,6.9,"Coffee, instant",200.0,grams,Beverages
1995-05-01,Canada,v735203,2.67,Tea ,72.0,bags,Beverages
1995-05-01,Canada,v735204,3.03,Cooking or salad oil,1.0,litre,Oils
1995-05-01,Canada,v735205,0.73,"Soup, canned",284.0,millilitres,Other_foods
1995-05-01,Canada,v735207,2.59,Peanut butter,500.0,grams,Other_foods
1995-05-01,Canada,v735208,1.3,Fruit flavoured crystals,2.25,litres,Beverages
1995-05-01,Canada,v735210,1.3,"Soft drinks, cola type",2.0,litres,Beverages
1995-05-01,Canada,v735211,1.43,"Soft drinks, lemon-lime type",2.0,litres,Beverages
1995-06-01,Canada,v735165,10.19,Round steak,1.0,kilogram,Protein
1995-06-01,Canada,v735176,11.83,Sirloin steak,1.0,kilogram,Protein
1995-06-01,Canada,v735187,12.25,Prime rib roast,1.0,kilogram,Protein
1995-06-01,Canada,v735198,6.49,Blade roast,1.0,kilogram,Protein
1995-06-01,Canada,v735209,7.19,Stewing beef,1.0,kilogram,Protein
1995-06-01,Canada,v735220,3.77,Ground beef,1.0,kilogram,Protein
1995-06-01,Canada,v735221,8.29,Pork chops,1.0,kilogram,Protein
1995-06-01,Canada,v735222,4.97,Butt roast,1.0,kilogram,Others
1995-06-01,Canada,v735223,3.65,Chicken,1.0,kilogram,Protein
1995-06-01,Canada,v735166,2.8,Bacon,500.0,grams,Protein
1995-06-01,Canada,v735167,2.29,Wieners,450.0,grams,Protein
1995-06-01,Canada,v735168,3.67,Canned salmon,213.0,grams,Protein
1995-06-01,Canada,v735169,1.33,Homogenized milk,1.0,litre,Beverages
1995-06-01,Canada,v735170,1.29,Partly skimmed milk,1.0,litre,Beverages
1995-06-01,Canada,v735171,2.85,Butter,454.0,grams,Dairy
1995-06-01,Canada,v735172,2.55,Processed cheese slices,250.0,grams,Dairy
1995-06-01,Canada,v735173,1.05,Evaporated milk,385.0,millilitres,Beverages
1995-06-01,Canada,v735174,1.59,Eggs,1.0,dozen,Protein
1995-06-01,Canada,v735175,1.25,Bread,675.0,grams,Grains
1995-06-01,Canada,v735177,1.91,Soda crackers,450.0,grams,Grains
1995-06-01,Canada,v735178,1.0,Macaroni,500.0,grams,Grains
1995-06-01,Canada,v735179,3.33,Flour,2.5,kilograms,Grains
1995-06-01,Canada,v735180,2.97,Corn flakes,675.0,grams,Grains
1995-06-01,Canada,v735181,2.27,Apples,1.0,kilogram,Veg_Fruits
1995-06-01,Canada,v735182,1.28,Bananas,1.0,kilogram,Veg_Fruits
1995-06-01,Canada,v735183,1.72,Grapefruits,1.0,kilogram,Veg_Fruits
1995-06-01,Canada,v735184,1.67,Oranges,1.0,kilogram,Veg_Fruits
1995-06-01,Canada,v735185,1.43,Apple juice,1.36,litres,Beverages
1995-06-01,Canada,v735186,1.65,Orange juice,1.0,litre,Beverages
1995-06-01,Canada,v735188,1.48,Cabbage,1.0,kilogram,Veg_Fruits
1995-06-01,Canada,v735189,1.77,Carrots,1.0,kilogram,Veg_Fruits
1995-06-01,Canada,v735190,2.2,Celery,1.0,kilogram,Veg_Fruits
1995-06-01,Canada,v735191,5.98,Mushrooms,1.0,kilogram,Veg_Fruits
1995-06-01,Canada,v735192,1.4,Onions,1.0,kilogram,Veg_Fruits
1995-06-01,Canada,v735193,3.58,Potatoes,4.54,kilograms,Veg_Fruits
1995-06-01,Canada,v735194,1.68,"French fried potatoes, frozen",1.0,kilogram,Frozen
1995-06-01,Canada,v735195,0.8,"Baked beans, canned",398.0,millilitres,Plant_based
1995-06-01,Canada,v735196,1.25,"Tomatoes, canned",796.0,millilitres,Veg_Fruits
1995-06-01,Canada,v735197,1.43,Tomato juice,1.36,litres,Beverages
1995-06-01,Canada,v735199,2.19,Ketchup,1.0,litre,Other_foods
1995-06-01,Canada,v735200,1.95,"Sugar, white",2.0,kilograms,Other_foods
1995-06-01,Canada,v735201,4.03,"Coffee, roasted",300.0,grams,Beverages
1995-06-01,Canada,v735202,6.85,"Coffee, instant",200.0,grams,Beverages
1995-06-01,Canada,v735203,2.69,Tea ,72.0,bags,Beverages
1995-06-01,Canada,v735204,3.07,Cooking or salad oil,1.0,litre,Oils
1995-06-01,Canada,v735205,0.73,"Soup, canned",284.0,millilitres,Other_foods
1995-06-01,Canada,v735207,2.58,Peanut butter,500.0,grams,Other_foods
1995-06-01,Canada,v735208,1.24,Fruit flavoured crystals,2.25,litres,Beverages
1995-06-01,Canada,v735210,1.26,"Soft drinks, cola type",2.0,litres,Beverages
1995-06-01,Canada,v735211,1.39,"Soft drinks, lemon-lime type",2.0,litres,Beverages
1995-07-01,Canada,v735165,10.26,Round steak,1.0,kilogram,Protein
1995-07-01,Canada,v735176,12.07,Sirloin steak,1.0,kilogram,Protein
1995-07-01,Canada,v735187,12.43,Prime rib roast,1.0,kilogram,Protein
1995-07-01,Canada,v735198,6.94,Blade roast,1.0,kilogram,Protein
1995-07-01,Canada,v735209,7.22,Stewing beef,1.0,kilogram,Protein
1995-07-01,Canada,v735220,3.72,Ground beef,1.0,kilogram,Protein
1995-07-01,Canada,v735221,8.66,Pork chops,1.0,kilogram,Protein
1995-07-01,Canada,v735222,5.07,Butt roast,1.0,kilogram,Others
1995-07-01,Canada,v735223,3.7,Chicken,1.0,kilogram,Protein
1995-07-01,Canada,v735166,2.76,Bacon,500.0,grams,Protein
1995-07-01,Canada,v735167,2.29,Wieners,450.0,grams,Protein
1995-07-01,Canada,v735168,3.65,Canned salmon,213.0,grams,Protein
1995-07-01,Canada,v735169,1.32,Homogenized milk,1.0,litre,Beverages
1995-07-01,Canada,v735170,1.29,Partly skimmed milk,1.0,litre,Beverages
1995-07-01,Canada,v735171,2.84,Butter,454.0,grams,Dairy
1995-07-01,Canada,v735172,2.54,Processed cheese slices,250.0,grams,Dairy
1995-07-01,Canada,v735173,1.04,Evaporated milk,385.0,millilitres,Beverages
1995-07-01,Canada,v735174,1.6,Eggs,1.0,dozen,Protein
1995-07-01,Canada,v735175,1.24,Bread,675.0,grams,Grains
1995-07-01,Canada,v735177,1.93,Soda crackers,450.0,grams,Grains
1995-07-01,Canada,v735178,0.99,Macaroni,500.0,grams,Grains
1995-07-01,Canada,v735179,3.33,Flour,2.5,kilograms,Grains
1995-07-01,Canada,v735180,2.99,Corn flakes,675.0,grams,Grains
1995-07-01,Canada,v735181,2.37,Apples,1.0,kilogram,Veg_Fruits
1995-07-01,Canada,v735182,1.43,Bananas,1.0,kilogram,Veg_Fruits
1995-07-01,Canada,v735183,1.86,Grapefruits,1.0,kilogram,Veg_Fruits
1995-07-01,Canada,v735184,1.92,Oranges,1.0,kilogram,Veg_Fruits
1995-07-01,Canada,v735185,1.45,Apple juice,1.36,litres,Beverages
1995-07-01,Canada,v735186,1.67,Orange juice,1.0,litre,Beverages
1995-07-01,Canada,v735188,0.92,Cabbage,1.0,kilogram,Veg_Fruits
1995-07-01,Canada,v735189,1.68,Carrots,1.0,kilogram,Veg_Fruits
1995-07-01,Canada,v735190,1.57,Celery,1.0,kilogram,Veg_Fruits
1995-07-01,Canada,v735191,5.75,Mushrooms,1.0,kilogram,Veg_Fruits
1995-07-01,Canada,v735192,1.54,Onions,1.0,kilogram,Veg_Fruits
1995-07-01,Canada,v735193,4.37,Potatoes,4.54,kilograms,Veg_Fruits
1995-07-01,Canada,v735194,1.67,"French fried potatoes, frozen",1.0,kilogram,Frozen
1995-07-01,Canada,v735195,0.79,"Baked beans, canned",398.0,millilitres,Plant_based
1995-07-01,Canada,v735196,1.26,"Tomatoes, canned",796.0,millilitres,Veg_Fruits
1995-07-01,Canada,v735197,1.45,Tomato juice,1.36,litres,Beverages
1995-07-01,Canada,v735199,2.23,Ketchup,1.0,litre,Other_foods
1995-07-01,Canada,v735200,1.95,"Sugar, white",2.0,kilograms,Other_foods
1995-07-01,Canada,v735201,3.97,"Coffee, roasted",300.0,grams,Beverages
1995-07-01,Canada,v735202,6.84,"Coffee, instant",200.0,grams,Beverages
1995-07-01,Canada,v735203,2.66,Tea ,72.0,bags,Beverages
1995-07-01,Canada,v735204,3.02,Cooking or salad oil,1.0,litre,Oils
1995-07-01,Canada,v735205,0.73,"Soup, canned",284.0,millilitres,Other_foods
1995-07-01,Canada,v735207,2.57,Peanut butter,500.0,grams,Other_foods
1995-07-01,Canada,v735208,1.29,Fruit flavoured crystals,2.25,litres,Beverages
1995-07-01,Canada,v735210,1.29,"Soft drinks, cola type",2.0,litres,Beverages
1995-07-01,Canada,v735211,1.4,"Soft drinks, lemon-lime type",2.0,litres,Beverages
1995-08-01,Canada,v735165,10.07,Round steak,1.0,kilogram,Protein
