date,location,vectorid,price,product,unit_quantity,unit,category,z_score
1995-01-01,Canada,v735190,2.63,Celery,1.0,kilogram,Veg_Fruits,0.8289072320623218
1995-01-01,Canada,v735191,5.62,Mushrooms,1.0,kilogram,Veg_Fruits,-1.3388580403682644
1995-01-01,Canada,v735192,1.04,Onions,1.0,kilogram,Veg_Fruits,-1.1224122553292397
1995-01-01,Canada,v735193,2.7,Potatoes,4.54,kilograms,Veg_Fruits,-1.1695277713217596
1995-01-01,Canada,v735194,1.71,"French fried potatoes, frozen",1.0,kilogram,Frozen,-1.0407705245595085
1995-01-01,Canada,v735195,0.8,"Baked beans, canned",398.0,millilitres,Plant_based,-1.0725125793084487
1995-01-01,Canada,v735196,1.26,"Tomatoes, canned",796.0,millilitres,Veg_Fruits,-0.715024296303728
1995-01-01,Canada,v735197,1.45,Tomato juice,1.36,litres,Beverages,-0.9899158500456404
1995-01-01,Canada,v735199,2.41,Ketchup,1.0,litre,Other_foods,-1.0667592059482807
1995-01-01,Canada,v735200,1.95,"Sugar, white",2.0,kilograms,Other_foods,-1.95950940793503
1995-01-01,Canada,v735201,4.22,"Coffee, roasted",300.0,grams,Beverages,-0.2571805666273499
1995-01-01,Canada,v735202,7.02,"Coffee, instant",200.0,grams,Beverages,1.2508730853728875
1995-01-01,Canada,v735203,2.64,Tea ,72.0,bags,Beverages,-2.0659516618726244
1995-01-01,Canada,v735204,2.97,Cooking or salad oil,1.0,litre,Oils,-1.30908808212578
1995-01-01,Canada,v735205,0.72,"Soup, canned",284.0,millilitres,Other_foods,-1.215728476276351
1995-01-01,Canada,v735207,2.65,Peanut butter,500.0,grams,Protein,-0.6551224842349497
1995-01-01,Canada,v735208,1.29,Fruit flavoured crystals,2.25,litres,Beverages,-0.4547037416989149
1995-01-01,Canada,v735210,1.39,"Soft drinks, cola type",2.0,litres,Beverages,-0.46859582317433374
1995-01-01,Canada,v735211,1.5,"Soft drinks, lemon-lime type",2.0,litres,Beverages,-0.2119416230499683
1995-02-01,Canada,v735165,10.29,Round steak,1.0,kilogram,Protein,-0.95316674806843
1995-02-01,Canada,v735176,11.43,Sirloin steak,1.0,kilogram,Protein,-1.1459947804345212
1995-02-01,Canada,v735187,11.67,Prime rib roast,1.0,kilogram,Protein,-1.3645438925216873
1995-02-01,Canada,v735198,7.21,Blade roast,1.0,kilogram,Protein,-0.905684592380032
1995-02-01,Canada,v735209,7.27,Stewing beef,1.0,kilogram,Protein,-0.9899330509762871
1995-02-01,Canada,v735220,3.8,Ground beef,1.0,kilogram,Protein,-1.1844621826490531
1995-02-01,Canada,v735221,8.56,Pork chops,1.0,kilogram,Protein,-1.2651555900474536
1995-02-01,Canada,v735222,5.01,Butt roast,1.0,kilogram,Protein,-1.466682772449427
1995-02-01,Canada,v735223,3.66,Chicken,1.0,kilogram,Protein,-1.706099123462663
1995-02-01,Canada,v735166,2.91,Bacon,500.0,grams,Protein,-1.572590516849783
1995-02-01,Canada,v735167,2.5,Wieners,450.0,grams,Protein,-0.8221145002225595
1995-02-01,Canada,v735168,3.69,Canned salmon,213.0,grams,Protein,-0.39933908944685126
1995-02-01,Canada,v735169,1.33,Homogenized milk,1.0,litre,Beverages,-0.8729016326678127
1995-02-01,Canada,v735170,1.29,Partly skimmed milk,1.0,litre,Beverages,-0.8941803675418628
1995-02-01,Canada,v735171,2.82,Butter,454.0,grams,Protein,-1.5688757468252543
1995-02-01,Canada,v735172,2.51,Processed cheese slices,250.0,grams,Dairy,-1.272683747342068
1995-02-01,Canada,v735173,1.01,Evaporated milk,385.0,millilitres,Beverages,-1.457980556034699
1995-02-01,Canada,v735174,1.55,Eggs,1.0,dozen,Protein,-1.5966308059994656
1995-02-01,Canada,v735175,1.27,Bread,675.0,grams,Grains,-1.3859584682004147
1995-02-01,Canada,v735177,1.97,Soda crackers,450.0,grams,Grains,-0.8808192620334139
1995-02-01,Canada,v735178,0.97,Macaroni,500.0,grams,Grains,-1.091379628904931
1995-02-01,Canada,v735179,3.24,Flour,2.5,kilograms,Grains,-1.3667549736335178
1995-02-01,Canada,v735180,3.09,Corn flakes,675.0,grams,Grains,-1.1957659880680185
1995-02-01,Canada,v735181,2.11,Apples,1.0,kilogram,Veg_Fruits,-1.5544324002262688
1995-02-01,Canada,v735182,1.27,Bananas,1.0,kilogram,Veg_Fruits,-0.7769816018599305
1995-02-01,Canada,v735183,1.31,Grapefruits,1.0,kilogram,Veg_Fruits,-1.5673253917383247
1995-02-01,Canada,v735184,1.52,Oranges,1.0,kilogram,Veg_Fruits,-1.9509564165394837
1995-02-01,Canada,v735185,1.43,Apple juice,1.36,litres,Beverages,-1.5716088787919542
1995-02-01,Canada,v735186,1.66,Orange juice,1.0,litre,Beverages,-2.1131105695719503
1995-02-01,Canada,v735188,0.91,Cabbage,1.0,kilogram,Veg_Fruits,-0.13446316880904088
1995-02-01,Canada,v735189,1.38,Carrots,1.0,kilogram,Veg_Fruits,-0.6310089420924694
1995-02-01,Canada,v735190,2.05,Celery,1.0,kilogram,Veg_Fruits,-0.14592464922467266
1995-02-01,Canada,v735191,5.84,Mushrooms,1.0,kilogram,Veg_Fruits,-1.1671923891683005
1995-02-01,Canada,v735192,1.13,Onions,1.0,kilogram,Veg_Fruits,-0.9342963203848786
1995-02-01,Canada,v735193,2.84,Potatoes,4.54,kilograms,Veg_Fruits,-1.1048954516996385
1995-02-01,Canada,v735194,1.66,"French fried potatoes, frozen",1.0,kilogram,Frozen,-1.1499024611971413
1995-02-01,Canada,v735195,0.82,"Baked beans, canned",398.0,millilitres,Plant_based,-0.980320331225508
1995-02-01,Canada,v735196,1.26,"Tomatoes, canned",796.0,millilitres,Veg_Fruits,-0.715024296303728
1995-02-01,Canada,v735197,1.43,Tomato juice,1.36,litres,Beverages,-1.0285016774043871
1995-02-01,Canada,v735199,2.3,Ketchup,1.0,litre,Other_foods,-1.2891402379521493
1995-02-01,Canada,v735200,1.95,"Sugar, white",2.0,kilograms,Other_foods,-1.95950940793503
1995-02-01,Canada,v735201,4.15,"Coffee, roasted",300.0,grams,Beverages,-0.31661206566974043
1995-02-01,Canada,v735202,7.01,"Coffee, instant",200.0,grams,Beverages,1.2407856487413091
1995-02-01,Canada,v735203,2.66,Tea ,72.0,bags,Beverages,-2.031016358722977
1995-02-01,Canada,v735204,2.97,Cooking or salad oil,1.0,litre,Oils,-1.30908808212578
1995-02-01,Canada,v735205,0.72,"Soup, canned",284.0,millilitres,Other_foods,-1.215728476276351
1995-02-01,Canada,v735207,2.65,Peanut butter,500.0,grams,Protein,-0.6551224842349497
1995-02-01,Canada,v735208,1.3,Fruit flavoured crystals,2.25,litres,Beverages,-0.41169122559226073
1995-02-01,Canada,v735210,1.41,"Soft drinks, cola type",2.0,litres,Beverages,-0.40651597451259003
1995-02-01,Canada,v735211,1.5,"Soft drinks, lemon-lime type",2.0,litres,Beverages,-0.2119416230499683
1995-03-01,Canada,v735165,10.12,Round steak,1.0,kilogram,Protein,-1.0038927159549185
1995-03-01,Canada,v735176,11.41,Sirloin steak,1.0,kilogram,Protein,-1.1503370572405471
1995-03-01,Canada,v735187,11.78,Prime rib roast,1.0,kilogram,Protein,-1.3504617744182488
1995-03-01,Canada,v735198,7.36,Blade roast,1.0,kilogram,Protein,-0.8678083124749761
1995-03-01,Canada,v735209,7.36,Stewing beef,1.0,kilogram,Protein,-0.9654492564963629
1995-03-01,Canada,v735220,3.76,Ground beef,1.0,kilogram,Protein,-1.196940076738455
1995-03-01,Canada,v735221,8.53,Pork chops,1.0,kilogram,Protein,-1.2862120919886137
1995-03-01,Canada,v735222,4.84,Butt roast,1.0,kilogram,Protein,-1.8342661056173952
1995-03-01,Canada,v735223,3.62,Chicken,1.0,kilogram,Protein,-1.7358904041208933
1995-03-01,Canada,v735166,2.78,Bacon,500.0,grams,Protein,-1.6657332028365257
1995-03-01,Canada,v735167,2.52,Wieners,450.0,grams,Protein,-0.7997729424472548
1995-03-01,Canada,v735168,3.66,Canned salmon,213.0,grams,Protein,-0.43195589498209586
1995-03-01,Canada,v735169,1.33,Homogenized milk,1.0,litre,Beverages,-0.8729016326678127
1995-03-01,Canada,v735170,1.28,Partly skimmed milk,1.0,litre,Beverages,-0.9011547048124587
1995-03-01,Canada,v735171,2.83,Butter,454.0,grams,Protein,-1.5560490052526745
1995-03-01,Canada,v735172,2.54,Processed cheese slices,250.0,grams,Dairy,-1.0510518554438215
1995-03-01,Canada,v735173,1.02,Evaporated milk,385.0,millilitres,Beverages,-1.4312301248512618
1995-03-01,Canada,v735174,1.57,Eggs,1.0,dozen,Protein,-1.5660157636352139
1995-03-01,Canada,v735175,1.24,Bread,675.0,grams,Grains,-1.4320189338079996
1995-03-01,Canada,v735177,1.93,Soda crackers,450.0,grams,Grains,-0.952858168060231
1995-03-01,Canada,v735178,1.0,Macaroni,500.0,grams,Grains,-0.9718801576701543
1995-03-01,Canada,v735179,3.26,Flour,2.5,kilograms,Grains,-1.3376399266570407
1995-03-01,Canada,v735180,3.01,Corn flakes,675.0,grams,Grains,-1.2823444915905449
1995-03-01,Canada,v735181,2.21,Apples,1.0,kilogram,Veg_Fruits,-1.4266246465694894
1995-03-01,Canada,v735182,1.38,Bananas,1.0,kilogram,Veg_Fruits,-0.24403285965072802
1995-03-01,Canada,v735183,1.38,Grapefruits,1.0,kilogram,Veg_Fruits,-1.4725820606315176
1995-03-01,Canada,v735184,1.44,Oranges,1.0,kilogram,Veg_Fruits,-2.071131534854394
1995-03-01,Canada,v735185,1.41,Apple juice,1.36,litres,Beverages,-1.647265183352819
1995-03-01,Canada,v735186,1.65,Orange juice,1.0,litre,Beverages,-2.125287297793548
1995-03-01,Canada,v735188,0.97,Cabbage,1.0,kilogram,Veg_Fruits,0.10915245468028013
1995-03-01,Canada,v735189,1.45,Carrots,1.0,kilogram,Veg_Fruits,-0.4682093484401217
1995-03-01,Canada,v735190,2.42,Celery,1.0,kilogram,Veg_Fruits,0.47595086125151354
1995-03-01,Canada,v735191,5.91,Mushrooms,1.0,kilogram,Veg_Fruits,-1.11257150015013
1995-03-01,Canada,v735192,1.22,Onions,1.0,kilogram,Veg_Fruits,-0.7461803854405172
1995-03-01,Canada,v735193,2.85,Potatoes,4.54,kilograms,Veg_Fruits,-1.1002788574409155
1995-03-01,Canada,v735194,1.67,"French fried potatoes, frozen",1.0,kilogram,Frozen,-1.1280760738696147
1995-03-01,Canada,v735195,0.81,"Baked beans, canned",398.0,millilitres,Plant_based,-1.0264164552669781
1995-03-01,Canada,v735196,1.26,"Tomatoes, canned",796.0,millilitres,Veg_Fruits,-0.715024296303728
1995-03-01,Canada,v735197,1.41,Tomato juice,1.36,litres,Beverages,-1.067087504763134
1995-03-01,Canada,v735199,2.31,Ketchup,1.0,litre,Other_foods,-1.2689237804972517
1995-03-01,Canada,v735200,1.93,"Sugar, white",2.0,kilograms,Other_foods,-2.0246764639908137
1995-03-01,Canada,v735201,4.04,"Coffee, roasted",300.0,grams,Beverages,-0.4100044213077838
1995-03-01,Canada,v735202,6.91,"Coffee, instant",200.0,grams,Beverages,1.1399112824255244
1995-03-01,Canada,v735203,2.63,Tea ,72.0,bags,Beverages,-2.0834193134474486
1995-03-01,Canada,v735204,2.92,Cooking or salad oil,1.0,litre,Oils,-1.4190671344845591
1995-03-01,Canada,v735205,0.72,"Soup, canned",284.0,millilitres,Other_foods,-1.215728476276351
1995-03-01,Canada,v735207,2.63,Peanut butter,500.0,grams,Protein,-0.7059482647824493
1995-03-01,Canada,v735208,1.25,Fruit flavoured crystals,2.25,litres,Beverages,-0.6267538061255316
1995-03-01,Canada,v735210,1.32,"Soft drinks, cola type",2.0,litres,Beverages,-0.6858752934904359
1995-03-01,Canada,v735211,1.49,"Soft drinks, lemon-lime type",2.0,litres,Beverages,-0.25156965057059427
1995-04-01,Canada,v735165,10.38,Round steak,1.0,kilogram,Protein,-0.9263118238932299
1995-04-01,Canada,v735176,11.57,Sirloin steak,1.0,kilogram,Protein,-1.1155988427923393
1995-04-01,Canada,v735187,11.32,Prime rib roast,1.0,kilogram,Protein,-1.4093506319417184
1995-04-01,Canada,v735198,7.15,Blade roast,1.0,kilogram,Protein,-0.9208351043420541
1995-04-01,Canada,v735209,7.25,Stewing beef,1.0,kilogram,Protein,-0.9953738941940479
1995-04-01,Canada,v735220,3.83,Ground beef,1.0,kilogram,Protein,-1.1751037620820015
1995-04-01,Canada,v735221,8.7,Pork chops,1.0,kilogram,Protein,-1.1668919143220438
1995-04-01,Canada,v735222,5.13,Butt roast,1.0,kilogram,Protein,-1.2072121843308605
1995-04-01,Canada,v735223,3.71,Chicken,1.0,kilogram,Protein,-1.6688600226398755
1995-04-01,Canada,v735166,2.68,Bacon,500.0,grams,Protein,-1.7373814228263273
1995-04-01,Canada,v735167,2.47,Wieners,450.0,grams,Protein,-0.8556268368855162
1995-04-01,Canada,v735168,3.61,Canned salmon,213.0,grams,Protein,-0.48631723754083744
1995-04-01,Canada,v735169,1.34,Homogenized milk,1.0,litre,Beverages,-0.8667876048692997
1995-04-01,Canada,v735170,1.29,Partly skimmed milk,1.0,litre,Beverages,-0.8941803675418628
1995-04-01,Canada,v735171,2.84,Butter,454.0,grams,Protein,-1.5432222636800954
1995-04-01,Canada,v735172,2.54,Processed cheese slices,250.0,grams,Dairy,-1.0510518554438215
1995-04-01,Canada,v735173,1.02,Evaporated milk,385.0,millilitres,Beverages,-1.4312301248512618
1995-04-01,Canada,v735174,1.59,Eggs,1.0,dozen,Protein,-1.5354007212709622
1995-04-01,Canada,v735175,1.26,Bread,675.0,grams,Grains,-1.4013119567362764
1995-04-01,Canada,v735177,1.94,Soda crackers,450.0,grams,Grains,-0.9348484415535268
1995-04-01,Canada,v735178,0.98,Macaroni,500.0,grams,Grains,-1.051546471826672
1995-04-01,Canada,v735179,3.17,Flour,2.5,kilograms,Grains,-1.4686576380511904
1995-04-01,Canada,v735180,2.99,Corn flakes,675.0,grams,Grains,-1.303989117471176
1995-04-01,Canada,v735181,2.22,Apples,1.0,kilogram,Veg_Fruits,-1.4138438712038113
1995-04-01,Canada,v735182,1.32,Bananas,1.0,kilogram,Veg_Fruits,-0.5347321735830197
1995-04-01,Canada,v735183,1.44,Grapefruits,1.0,kilogram,Veg_Fruits,-1.391373491111397
1995-04-01,Canada,v735184,1.69,Oranges,1.0,kilogram,Veg_Fruits,-1.6955842901203
1995-04-01,Canada,v735185,1.42,Apple juice,1.36,litres,Beverages,-1.6094370310723864
1995-04-01,Canada,v735186,1.67,Orange juice,1.0,litre,Beverages,-2.1009338413503524
1995-04-01,Canada,v735188,0.98,Cabbage,1.0,kilogram,Veg_Fruits,0.14975505859516705
1995-04-01,Canada,v735189,1.71,Carrots,1.0,kilogram,Veg_Fruits,0.1364748565543122
1995-04-01,Canada,v735190,2.44,Celery,1.0,kilogram,Veg_Fruits,0.5095657537096858
1995-04-01,Canada,v735191,5.87,Mushrooms,1.0,kilogram,Veg_Fruits,-1.1437834367319415
1995-04-01,Canada,v735192,1.33,Onions,1.0,kilogram,Veg_Fruits,-0.5162609093974088
1995-04-01,Canada,v735193,2.88,Potatoes,4.54,kilograms,Veg_Fruits,-1.0864290746647467
1995-04-01,Canada,v735194,1.69,"French fried potatoes, frozen",1.0,kilogram,Frozen,-1.0844232992145617
1995-04-01,Canada,v735195,0.8,"Baked beans, canned",398.0,millilitres,Plant_based,-1.0725125793084487
1995-04-01,Canada,v735196,1.23,"Tomatoes, canned",796.0,millilitres,Veg_Fruits,-0.8910358144977996
1995-04-01,Canada,v735197,1.37,Tomato juice,1.36,litres,Beverages,-1.1442591594806273
1995-04-01,Canada,v735199,2.23,Ketchup,1.0,litre,Other_foods,-1.4306554401364286
1995-04-01,Canada,v735200,1.96,"Sugar, white",2.0,kilograms,Other_foods,-1.926925879907138
1995-04-01,Canada,v735201,3.99,"Coffee, roasted",300.0,grams,Beverages,-0.45245549205234875
1995-04-01,Canada,v735202,6.95,"Coffee, instant",200.0,grams,Beverages,1.1802610289518385
1995-04-01,Canada,v735203,2.61,Tea ,72.0,bags,Beverages,-2.1183546165970957
1995-04-01,Canada,v735204,2.96,Cooking or salad oil,1.0,litre,Oils,-1.3310838925975361
1995-04-01,Canada,v735205,0.71,"Soup, canned",284.0,millilitres,Other_foods,-1.2709042361630405
1995-04-01,Canada,v735207,2.6,Peanut butter,500.0,grams,Protein,-0.7821869356036983
1995-04-01,Canada,v735208,1.31,Fruit flavoured crystals,2.25,litres,Beverages,-0.36867870948560655
1995-04-01,Canada,v735210,1.29,"Soft drinks, cola type",2.0,litres,Beverages,-0.7789950664830514
1995-04-01,Canada,v735211,1.42,"Soft drinks, lemon-lime type",2.0,litres,Beverages,-0.5289658432149761
1995-05-01,Canada,v735165,10.0,Round steak,1.0,kilogram,Protein,-1.039699281521851
1995-05-01,Canada,v735176,11.37,Sirloin steak,1.0,kilogram,Protein,-1.1590216108525992
1995-05-01,Canada,v735187,12.01,Prime rib roast,1.0,kilogram,Protein,-1.321017345656514
1995-05-01,Canada,v735198,6.67,Blade roast,1.0,kilogram,Protein,-1.0420392000382326
1995-05-01,Canada,v735209,7.26,Stewing beef,1.0,kilogram,Protein,-0.9926534725851676
1995-05-01,Canada,v735220,3.79,Ground beef,1.0,kilogram,Protein,-1.1875816561714034
1995-05-01,Canada,v735221,8.38,Pork chops,1.0,kilogram,Protein,-1.3914946016944099
1995-05-01,Canada,v735222,4.96,Butt roast,1.0,kilogram,Protein,-1.574795517498829
1995-05-01,Canada,v735223,3.71,Chicken,1.0,kilogram,Protein,-1.6688600226398755
1995-05-01,Canada,v735166,2.78,Bacon,500.0,grams,Protein,-1.6657332028365257
1995-05-01,Canada,v735167,2.35,Wieners,450.0,grams,Protein,-0.9896761835373441
1995-05-01,Canada,v735168,3.66,Canned salmon,213.0,grams,Protein,-0.43195589498209586
1995-05-01,Canada,v735169,1.34,Homogenized milk,1.0,litre,Beverages,-0.8667876048692997
1995-05-01,Canada,v735170,1.29,Partly skimmed milk,1.0,litre,Beverages,-0.8941803675418628
1995-05-01,Canada,v735171,2.83,Butter,454.0,grams,Protein,-1.5560490052526745
1995-05-01,Canada,v735172,2.53,Processed cheese slices,250.0,grams,Dairy,-1.1249291527432381
1995-05-01,Canada,v735173,1.04,Evaporated milk,385.0,millilitres,Beverages,-1.3777292624843873
1995-05-01,Canada,v735174,1.59,Eggs,1.0,dozen,Protein,-1.5354007212709622
1995-05-01,Canada,v735175,1.25,Bread,675.0,grams,Grains,-1.4166654452721381
1995-05-01,Canada,v735177,1.87,Soda crackers,450.0,grams,Grains,-1.0609165271004564
1995-05-01,Canada,v735178,1.0,Macaroni,500.0,grams,Grains,-0.9718801576701543
1995-05-01,Canada,v735179,3.3,Flour,2.5,kilograms,Grains,-1.2794098327040853
1995-05-01,Canada,v735180,3.0,Corn flakes,675.0,grams,Grains,-1.2931668045308604
1995-05-01,Canada,v735181,2.24,Apples,1.0,kilogram,Veg_Fruits,-1.3882823204724555
1995-05-01,Canada,v735182,1.28,Bananas,1.0,kilogram,Veg_Fruits,-0.7285317162045484
1995-05-01,Canada,v735183,1.55,Grapefruits,1.0,kilogram,Veg_Fruits,-1.242491113657843
1995-05-01,Canada,v735184,1.79,Oranges,1.0,kilogram,Veg_Fruits,-1.5453653922266624
1995-05-01,Canada,v735185,1.41,Apple juice,1.36,litres,Beverages,-1.647265183352819
1995-05-01,Canada,v735186,1.68,Orange juice,1.0,litre,Beverages,-2.0887571131287546
1995-05-01,Canada,v735188,1.35,Cabbage,1.0,kilogram,Veg_Fruits,1.6520514034459817
1995-05-01,Canada,v735189,1.82,Carrots,1.0,kilogram,Veg_Fruits,0.39230278943657293
1995-05-01,Canada,v735190,2.52,Celery,1.0,kilogram,Veg_Fruits,0.6440253235423747
1995-05-01,Canada,v735191,5.84,Mushrooms,1.0,kilogram,Veg_Fruits,-1.1671923891683005
1995-05-01,Canada,v735192,1.43,Onions,1.0,kilogram,Veg_Fruits,-0.30724320390367427
1995-05-01,Canada,v735193,2.95,Potatoes,4.54,kilograms,Veg_Fruits,-1.0541129148536859
1995-05-01,Canada,v735194,1.66,"French fried potatoes, frozen",1.0,kilogram,Frozen,-1.1499024611971413
1995-05-01,Canada,v735195,0.8,"Baked beans, canned",398.0,millilitres,Plant_based,-1.0725125793084487
1995-05-01,Canada,v735196,1.22,"Tomatoes, canned",796.0,millilitres,Veg_Fruits,-0.94970632056249
1995-05-01,Canada,v735197,1.41,Tomato juice,1.36,litres,Beverages,-1.067087504763134
1995-05-01,Canada,v735199,2.22,Ketchup,1.0,litre,Other_foods,-1.4508718975913253
1995-05-01,Canada,v735200,1.97,"Sugar, white",2.0,kilograms,Other_foods,-1.8943423518792462
1995-05-01,Canada,v735201,4.03,"Coffee, roasted",300.0,grams,Beverages,-0.4184946354566967
1995-05-01,Canada,v735202,6.9,"Coffee, instant",200.0,grams,Beverages,1.129823845793946
1995-05-01,Canada,v735203,2.67,Tea ,72.0,bags,Beverages,-2.013548707148154
1995-05-01,Canada,v735204,3.03,Cooking or salad oil,1.0,litre,Oils,-1.1771132192952465
1995-05-01,Canada,v735205,0.73,"Soup, canned",284.0,millilitres,Other_foods,-1.1605527163896614
1995-05-01,Canada,v735207,2.59,Peanut butter,500.0,grams,Protein,-0.8075998258774488
1995-05-01,Canada,v735208,1.3,Fruit flavoured crystals,2.25,litres,Beverages,-0.41169122559226073
1995-05-01,Canada,v735210,1.3,"Soft drinks, cola type",2.0,litres,Beverages,-0.7479551421521796
1995-05-01,Canada,v735211,1.43,"Soft drinks, lemon-lime type",2.0,litres,Beverages,-0.48933781569435014
1995-06-01,Canada,v735165,10.19,Round steak,1.0,kilogram,Protein,-0.9830055527075408
1995-06-01,Canada,v735176,11.83,Sirloin steak,1.0,kilogram,Protein,-1.0591492443140016
1995-06-01,Canada,v735187,12.25,Prime rib roast,1.0,kilogram,Protein,-1.2902927243399211
1995-06-01,Canada,v735198,6.49,Blade roast,1.0,kilogram,Protein,-1.0874907359242993
1995-06-01,Canada,v735209,7.19,Stewing beef,1.0,kilogram,Protein,-1.0116964238473305
1995-06-01,Canada,v735220,3.77,Ground beef,1.0,kilogram,Protein,-1.1938206032161045
1995-06-01,Canada,v735221,8.29,Pork chops,1.0,kilogram,Protein,-1.4546641075178892
1995-06-01,Canada,v735222,4.97,Butt roast,1.0,kilogram,Protein,-1.553172968488949
1995-06-01,Canada,v735223,3.65,Chicken,1.0,kilogram,Protein,-1.7135469436272208
1995-06-01,Canada,v735166,2.8,Bacon,500.0,grams,Protein,-1.6514035588385654
1995-06-01,Canada,v735167,2.29,Wieners,450.0,grams,Protein,-1.056700856863258
1995-06-01,Canada,v735168,3.67,Canned salmon,213.0,grams,Protein,-0.4210836264703478
1995-06-01,Canada,v735169,1.33,Homogenized milk,1.0,litre,Beverages,-0.8729016326678127
1995-06-01,Canada,v735170,1.29,Partly skimmed milk,1.0,litre,Beverages,-0.8941803675418628
1995-06-01,Canada,v735171,2.85,Butter,454.0,grams,Protein,-1.5303955221075156
1995-06-01,Canada,v735172,2.55,Processed cheese slices,250.0,grams,Dairy,-0.9771745581444082
1995-06-01,Canada,v735173,1.05,Evaporated milk,385.0,millilitres,Beverages,-1.35097883130095
1995-06-01,Canada,v735174,1.59,Eggs,1.0,dozen,Protein,-1.5354007212709622
1995-06-01,Canada,v735175,1.25,Bread,675.0,grams,Grains,-1.4166654452721381
1995-06-01,Canada,v735177,1.91,Soda crackers,450.0,grams,Grains,-0.9888776210736396
1995-06-01,Canada,v735178,1.0,Macaroni,500.0,grams,Grains,-0.9718801576701543
1995-06-01,Canada,v735179,3.33,Flour,2.5,kilograms,Grains,-1.2357372622393683
1995-06-01,Canada,v735180,2.97,Corn flakes,675.0,grams,Grains,-1.3256337433518075
1995-06-01,Canada,v735181,2.27,Apples,1.0,kilogram,Veg_Fruits,-1.349939994375422
1995-06-01,Canada,v735182,1.28,Bananas,1.0,kilogram,Veg_Fruits,-0.7285317162045484
1995-06-01,Canada,v735183,1.72,Grapefruits,1.0,kilogram,Veg_Fruits,-1.0124001666841684
1995-06-01,Canada,v735184,1.67,Oranges,1.0,kilogram,Veg_Fruits,-1.7256280696990276
1995-06-01,Canada,v735185,1.43,Apple juice,1.36,litres,Beverages,-1.5716088787919542
1995-06-01,Canada,v735186,1.65,Orange juice,1.0,litre,Beverages,-2.125287297793548
1995-06-01,Canada,v735188,1.48,Cabbage,1.0,kilogram,Veg_Fruits,2.179885254339511
1995-06-01,Canada,v735189,1.77,Carrots,1.0,kilogram,Veg_Fruits,0.2760173653991817
1995-06-01,Canada,v735190,2.2,Celery,1.0,kilogram,Veg_Fruits,0.10618704421161956
