,date,location,product,vectorid,price
34,1995-01-01,Canada,"Potatoes, 4.54 kilograms",v735193,2.7
35,1995-01-01,Canada,"French fried potatoes, frozen, 1 kilogram",v735194,1.71
36,1995-01-01,Canada,"Baked beans, canned, 398 millilitres",v735195,0.8
37,1995-01-01,Canada,"Tomatoes, canned, 796 millilitres",v735196,1.26
38,1995-01-01,Canada,"Tomato juice, 1.36 litres",v735197,1.45
39,1995-01-01,Canada,"Ketchup, 1 litre",v735199,2.41
40,1995-01-01,Canada,"Sugar, white, 2 kilograms",v735200,1.95
41,1995-01-01,Canada,"Coffee, roasted, 300 grams",v735201,4.22
42,1995-01-01,Canada,"Coffee, instant, 200 grams",v735202,7.02
43,1995-01-01,Canada,Tea (72 bags),v735203,2.64
44,1995-01-01,Canada,"Cooking or salad oil, 1 litre",v735204,2.97
45,1995-01-01,Canada,"Soup, canned, 284 millilitres",v735205,0.72
47,1995-01-01,Canada,"Peanut butter, 500 grams",v735207,2.65
48,1995-01-01,Canada,"Fruit flavoured crystals, 2.25 litres",v735208,1.29
49,1995-01-01,Canada,"Soft drinks, cola type, 2 litres",v735210,1.39
50,1995-01-01,Canada,"Soft drinks, lemon-lime type, 2 litres",v735211,1.5
59,1995-02-01,Canada,"Round steak, 1 kilogram",v735165,10.29
60,1995-02-01,Canada,"Sirloin steak, 1 kilogram",v735176,11.43
61,1995-02-01,Canada,"Prime rib roast, 1 kilogram",v735187,11.67
62,1995-02-01,Canada,"Blade roast, 1 kilogram",v735198,7.21
63,1995-02-01,Canada,"Stewing beef, 1 kilogram",v735209,7.27
64,1995-02-01,Canada,"Ground beef, 1 kilogram",v735220,3.8
65,1995-02-01,Canada,"Pork chops, 1 kilogram",v735221,8.56
66,1995-02-01,Canada,"Butt roast, 1 kilogram",v735222,5.01
67,1995-02-01,Canada,"Chicken, 1 kilogram",v735223,3.66
68,1995-02-01,Canada,"Bacon, 500 grams",v735166,2.91
69,1995-02-01,Canada,"Wieners, 450 grams",v735167,2.5
70,1995-02-01,Canada,"Canned salmon, 213 grams",v735168,3.69
71,1995-02-01,Canada,"Homogenized milk, 1 litre",v735169,1.33
72,1995-02-01,Canada,"Partly skimmed milk, 1 litre",v735170,1.29
73,1995-02-01,Canada,"Butter, 454 grams",v735171,2.82
74,1995-02-01,Canada,"Processed cheese slices, 250 grams",v735172,2.51
75,1995-02-01,Canada,"Evaporated milk, 385 millilitres",v735173,1.01
76,1995-02-01,Canada,"Eggs, 1 dozen",v735174,1.55
77,1995-02-01,Canada,"Bread, 675 grams",v735175,1.27
78,1995-02-01,Canada,"Soda crackers, 450 grams",v735177,1.97
79,1995-02-01,Canada,"Macaroni, 500 grams",v735178,0.97
80,1995-02-01,Canada,"Flour, 2.5 kilograms",v735179,3.24
81,1995-02-01,Canada,"Corn flakes, 675 grams",v735180,3.09
82,1995-02-01,Canada,"Apples, 1 kilogram",v735181,2.11
83,1995-02-01,Canada,"Bananas, 1 kilogram",v735182,1.27
84,1995-02-01,Canada,"Grapefruits, 1 kilogram",v735183,1.31
85,1995-02-01,Canada,"Oranges, 1 kilogram",v735184,1.52
86,1995-02-01,Canada,"Apple juice, 1.36 litres",v735185,1.43
87,1995-02-01,Canada,"Orange juice, 1 litre",v735186,1.66
88,1995-02-01,Canada,"Cabbage, 1 kilogram",v735188,0.91
89,1995-02-01,Canada,"Carrots, 1 kilogram",v735189,1.38
90,1995-02-01,Canada,"Celery, 1 kilogram",v735190,2.05
91,1995-02-01,Canada,"Mushrooms, 1 kilogram",v735191,5.84
92,1995-02-01,Canada,"Onions, 1 kilogram",v735192,1.13
93,1995-02-01,Canada,"Potatoes, 4.54 kilograms",v735193,2.84
94,1995-02-01,Canada,"French fried potatoes, frozen, 1 kilogram",v735194,1.66
95,1995-02-01,Canada,"Baked beans, canned, 398 millilitres",v735195,0.82
96,1995-02-01,Canada,"Tomatoes, canned, 796 millilitres",v735196,1.26
97,1995-02-01,Canada,"Tomato juice, 1.36 litres",v735197,1.43
98,1995-02-01,Canada,"Ketchup, 1 litre",v735199,2.3
99,1995-02-01,Canada,"Sugar, white, 2 kilograms",v735200,1.95
100,1995-02-01,Canada,"Coffee, roasted, 300 grams",v735201,4.15
101,1995-02-01,Canada,"Coffee, instant, 200 grams",v735202,7.01
102,1995-02-01,Canada,Tea (72 bags),v735203,2.66
103,1995-02-01,Canada,"Cooking or salad oil, 1 litre",v735204,2.97
104,1995-02-01,Canada,"Soup, canned, 284 millilitres",v735205,0.72
106,1995-02-01,Canada,"Peanut butter, 500 grams",v735207,2.65
107,1995-02-01,Canada,"Fruit flavoured crystals, 2.25 litres",v735208,1.3
108,1995-02-01,Canada,"Soft drinks, cola type, 2 litres",v735210,1.41
109,1995-02-01,Canada,"Soft drinks, lemon-lime type, 2 litres",v735211,1.5
118,1995-03-01,Canada,"Round steak, 1 kilogram",v735165,10.12
119,1995-03-01,Canada,"Sirloin steak, 1 kilogram",v735176,11.41
120,1995-03-01,Canada,"Prime rib roast, 1 kilogram",v735187,11.78
121,1995-03-01,Canada,"Blade roast, 1 kilogram",v735198,7.36
122,1995-03-01,Canada,"Stewing beef, 1 kilogram",v735209,7.36
123,1995-03-01,Canada,"Ground beef, 1 kilogram",v735220,3.76
124,1995-03-01,Canada,"Pork chops, 1 kilogram",v735221,8.53
125,1995-03-01,Canada,"Butt roast, 1 kilogram",v735222,4.84
126,1995-03-01,Canada,"Chicken, 1 kilogram",v735223,3.62
127,1995-03-01,Canada,"Bacon, 500 grams",v735166,2.78
128,1995-03-01,Canada,"Wieners, 450 grams",v735167,2.52
129,1995-03-01,Canada,"Canned salmon, 213 grams",v735168,3.66
130,1995-03-01,Canada,"Homogenized milk, 1 litre",v735169,1.33
131,1995-03-01,Canada,"Partly skimmed milk, 1 litre",v735170,1.28
132,1995-03-01,Canada,"Butter, 454 grams",v735171,2.83
133,1995-03-01,Canada,"Processed cheese slices, 250 grams",v735172,2.54
134,1995-03-01,Canada,"Evaporated milk, 385 millilitres",v735173,1.02
135,1995-03-01,Canada,"Eggs, 1 dozen",v735174,1.57
136,1995-03-01,Canada,"Bread, 675 grams",v735175,1.24
137,1995-03-01,Canada,"Soda crackers, 450 grams",v735177,1.93
138,1995-03-01,Canada,"Macaroni, 500 grams",v735178,1.0
139,1995-03-01,Canada,"Flour, 2.5 kilograms",v735179,3.26
140,1995-03-01,Canada,"Corn flakes, 675 grams",v735180,3.01
141,1995-03-01,Canada,"Apples, 1 kilogram",v735181,2.21
142,1995-03-01,Canada,"Bananas, 1 kilogram",v735182,1.38
143,1995-03-01,Canada,"Grapefruits, 1 kilogram",v735183,1.38
144,1995-03-01,Canada,"Oranges, 1 kilogram",v735184,1.44
145,1995-03-01,Canada,"Apple juice, 1.36 litres",v735185,1.41
146,1995-03-01,Canada,"Orange juice, 1 litre",v735186,1.65
147,1995-03-01,Canada,"Cabbage, 1 kilogram",v735188,0.97
148,1995-03-01,Canada,"Carrots, 1 kilogram",v735189,1.45
149,1995-03-01,Canada,"Celery, 1 kilogram",v735190,2.42
150,1995-03-01,Canada,"Mushrooms, 1 kilogram",v735191,5.91
151,1995-03-01,Canada,"Onions, 1 kilogram",v735192,1.22
152,1995-03-01,Canada,"Potatoes, 4.54 kilograms",v735193,2.85
153,1995-03-01,Canada,"French fried potatoes, frozen, 1 kilogram",v735194,1.67
154,1995-03-01,Canada,"Baked beans, canned, 398 millilitres",v735195,0.81
155,1995-03-01,Canada,"Tomatoes, canned, 796 millilitres",v735196,1.26
156,1995-03-01,Canada,"Tomato juice, 1.36 litres",v735197,1.41
157,1995-03-01,Canada,"Ketchup, 1 litre",v735199,2.31
158,1995-03-01,Canada,"Sugar, white, 2 kilograms",v735200,1.93
159,1995-03-01,Canada,"Coffee, roasted, 300 grams",v735201,4.04
160,1995-03-01,Canada,"Coffee, instant, 200 grams",v735202,6.91
161,1995-03-01,Canada,Tea (72 bags),v735203,2.63
162,1995-03-01,Canada,"Cooking or salad oil, 1 litre",v735204,2.92
163,1995-03-01,Canada,"Soup, canned, 284 millilitres",v735205,0.72
165,1995-03-01,Canada,"Peanut butter, 500 grams",v735207,2.63
166,1995-03-01,Canada,"Fruit flavoured crystals, 2.25 litres",v735208,1.25
167,1995-03-01,Canada,"Soft drinks, cola type, 2 litres",v735210,1.32
168,1995-03-01,Canada,"Soft drinks, lemon-lime type, 2 litres",v735211,1.49
177,1995-04-01,Canada,"Round steak, 1 kilogram",v735165,10.38
178,1995-04-01,Canada,"Sirloin steak, 1 kilogram",v735176,11.57
179,1995-04-01,Canada,"Prime rib roast, 1 kilogram",v735187,11.32
180,1995-04-01,Canada,"Blade roast, 1 kilogram",v735198,7.15
181,1995-04-01,Canada,"Stewing beef, 1 kilogram",v735209,7.25
182,1995-04-01,Canada,"Ground beef, 1 kilogram",v735220,3.83
183,1995-04-01,Canada,"Pork chops, 1 kilogram",v735221,8.7
184,1995-04-01,Canada,"Butt roast, 1 kilogram",v735222,5.13
185,1995-04-01,Canada,"Chicken, 1 kilogram",v735223,3.71
186,1995-04-01,Canada,"Bacon, 500 grams",v735166,2.68
187,1995-04-01,Canada,"Wieners, 450 grams",v735167,2.47
188,1995-04-01,Canada,"Canned salmon, 213 grams",v735168,3.61
189,1995-04-01,Canada,"Homogenized milk, 1 litre",v735169,1.34
190,1995-04-01,Canada,"Partly skimmed milk, 1 litre",v735170,1.29
191,1995-04-01,Canada,"Butter, 454 grams",v735171,2.84
192,1995-04-01,Canada,"Processed cheese slices, 250 grams",v735172,2.54
193,1995-04-01,Canada,"Evaporated milk, 385 millilitres",v735173,1.02
194,1995-04-01,Canada,"Eggs, 1 dozen",v735174,1.59
195,1995-04-01,Canada,"Bread, 675 grams",v735175,1.26
196,1995-04-01,Canada,"Soda crackers, 450 grams",v735177,1.94
197,1995-04-01,Canada,"Macaroni, 500 grams",v735178,0.98
198,1995-04-01,Canada,"Flour, 2.5 kilograms",v735179,3.17
199,1995-04-01,Canada,"Corn flakes, 675 grams",v735180,2.99
200,1995-04-01,Canada,"Apples, 1 kilogram",v735181,2.22
201,1995-04-01,Canada,"Bananas, 1 kilogram",v735182,1.32
202,1995-04-01,Canada,"Grapefruits, 1 kilogram",v735183,1.44
203,1995-04-01,Canada,"Oranges, 1 kilogram",v735184,1.69
204,1995-04-01,Canada,"Apple juice, 1.36 litres",v735185,1.42
205,1995-04-01,Canada,"Orange juice, 1 litre",v735186,1.67
206,1995-04-01,Canada,"Cabbage, 1 kilogram",v735188,0.98
207,1995-04-01,Canada,"Carrots, 1 kilogram",v735189,1.71
208,1995-04-01,Canada,"Celery, 1 kilogram",v735190,2.44
209,1995-04-01,Canada,"Mushrooms, 1 kilogram",v735191,5.87
210,1995-04-01,Canada,"Onions, 1 kilogram",v735192,1.33
211,1995-04-01,Canada,"Potatoes, 4.54 kilograms",v735193,2.88
212,1995-04-01,Canada,"French fried potatoes, frozen, 1 kilogram",v735194,1.69
213,1995-04-01,Canada,"Baked beans, canned, 398 millilitres",v735195,0.8
214,1995-04-01,Canada,"Tomatoes, canned, 796 millilitres",v735196,1.23
215,1995-04-01,Canada,"Tomato juice, 1.36 litres",v735197,1.37
216,1995-04-01,Canada,"Ketchup, 1 litre",v735199,2.23
217,1995-04-01,Canada,"Sugar, white, 2 kilograms",v735200,1.96
218,1995-04-01,Canada,"Coffee, roasted, 300 grams",v735201,3.99
219,1995-04-01,Canada,"Coffee, instant, 200 grams",v735202,6.95
220,1995-04-01,Canada,Tea (72 bags),v735203,2.61
221,1995-04-01,Canada,"Cooking or salad oil, 1 litre",v735204,2.96
222,1995-04-01,Canada,"Soup, canned, 284 millilitres",v735205,0.71
224,1995-04-01,Canada,"Peanut butter, 500 grams",v735207,2.6
225,1995-04-01,Canada,"Fruit flavoured crystals, 2.25 litres",v735208,1.31
226,1995-04-01,Canada,"Soft drinks, cola type, 2 litres",v735210,1.29
227,1995-04-01,Canada,"Soft drinks, lemon-lime type, 2 litres",v735211,1.42
236,1995-05-01,Canada,"Round steak, 1 kilogram",v735165,10.0
237,1995-05-01,Canada,"Sirloin steak, 1 kilogram",v735176,11.37
238,1995-05-01,Canada,"Prime rib roast, 1 kilogram",v735187,12.01
239,1995-05-01,Canada,"Blade roast, 1 kilogram",v735198,6.67
240,1995-05-01,Canada,"Stewing beef, 1 kilogram",v735209,7.26
241,1995-05-01,Canada,"Ground beef, 1 kilogram",v735220,3.79
242,1995-05-01,Canada,"Pork chops, 1 kilogram",v735221,8.38
243,1995-05-01,Canada,"Butt roast, 1 kilogram",v735222,4.96
244,1995-05-01,Canada,"Chicken, 1 kilogram",v735223,3.71
245,1995-05-01,Canada,"Bacon, 500 grams",v735166,2.78
246,1995-05-01,Canada,"Wieners, 450 grams",v735167,2.35
247,1995-05-01,Canada,"Canned salmon, 213 grams",v735168,3.66
248,1995-05-01,Canada,"Homogenized milk, 1 litre",v735169,1.34
249,1995-05-01,Canada,"Partly skimmed milk, 1 litre",v735170,1.29
250,1995-05-01,Canada,"Butter, 454 grams",v735171,2.83
251,1995-05-01,Canada,"Processed cheese slices, 250 grams",v735172,2.53
252,1995-05-01,Canada,"Evaporated milk, 385 millilitres",v735173,1.04
253,1995-05-01,Canada,"Eggs, 1 dozen",v735174,1.59
254,1995-05-01,Canada,"Bread, 675 grams",v735175,1.25
255,1995-05-01,Canada,"Soda crackers, 450 grams",v735177,1.87
256,1995-05-01,Canada,"Macaroni, 500 grams",v735178,1.0
257,1995-05-01,Canada,"Flour, 2.5 kilograms",v735179,3.3
258,1995-05-01,Canada,"Corn flakes, 675 grams",v735180,3.0
259,1995-05-01,Canada,"Apples, 1 kilogram",v735181,2.24
260,1995-05-01,Canada,"Bananas, 1 kilogram",v735182,1.28
261,1995-05-01,Canada,"Grapefruits, 1 kilogram",v735183,1.55
262,1995-05-01,Canada,"Oranges, 1 kilogram",v735184,1.79
263,1995-05-01,Canada,"Apple juice, 1.36 litres",v735185,1.41
264,1995-05-01,Canada,"Orange juice, 1 litre",v735186,1.68
265,1995-05-01,Canada,"Cabbage, 1 kilogram",v735188,1.35
266,1995-05-01,Canada,"Carrots, 1 kilogram",v735189,1.82
267,1995-05-01,Canada,"Celery, 1 kilogram",v735190,2.52
268,1995-05-01,Canada,"Mushrooms, 1 kilogram",v735191,5.84
269,1995-05-01,Canada,"Onions, 1 kilogram",v735192,1.43
270,1995-05-01,Canada,"Potatoes, 4.54 kilograms",v735193,2.95
271,1995-05-01,Canada,"French fried potatoes, frozen, 1 kilogram",v735194,1.66
272,1995-05-01,Canada,"Baked beans, canned, 398 millilitres",v735195,0.8
273,1995-05-01,Canada,"Tomatoes, canned, 796 millilitres",v735196,1.22
274,1995-05-01,Canada,"Tomato juice, 1.36 litres",v735197,1.41
275,1995-05-01,Canada,"Ketchup, 1 litre",v735199,2.22
276,1995-05-01,Canada,"Sugar, white, 2 kilograms",v735200,1.97
277,1995-05-01,Canada,"Coffee, roasted, 300 grams",v735201,4.03
278,1995-05-01,Canada,"Coffee, instant, 200 grams",v735202,6.9
279,1995-05-01,Canada,Tea (72 bags),v735203,2.67
280,1995-05-01,Canada,"Cooking or salad oil, 1 litre",v735204,3.03
281,1995-05-01,Canada,"Soup, canned, 284 millilitres",v735205,0.73
283,1995-05-01,Canada,"Peanut butter, 500 grams",v735207,2.59
284,1995-05-01,Canada,"Fruit flavoured crystals, 2.25 litres",v735208,1.3
285,1995-05-01,Canada,"Soft drinks, cola type, 2 litres",v735210,1.3
286,1995-05-01,Canada,"Soft drinks, lemon-lime type, 2 litres",v735211,1.43
295,1995-06-01,Canada,"Round steak, 1 kilogram",v735165,10.19
296,1995-06-01,Canada,"Sirloin steak, 1 kilogram",v735176,11.83
297,1995-06-01,Canada,"Prime rib roast, 1 kilogram",v735187,12.25
298,1995-06-01,Canada,"Blade roast, 1 kilogram",v735198,6.49
299,1995-06-01,Canada,"Stewing beef, 1 kilogram",v735209,7.19
300,1995-06-01,Canada,"Ground beef, 1 kilogram",v735220,3.77
301,1995-06-01,Canada,"Pork chops, 1 kilogram",v735221,8.29
302,1995-06-01,Canada,"Butt roast, 1 kilogram",v735222,4.97
303,1995-06-01,Canada,"Chicken, 1 kilogram",v735223,3.65
304,1995-06-01,Canada,"Bacon, 500 grams",v735166,2.8
305,1995-06-01,Canada,"Wieners, 450 grams",v735167,2.29
306,1995-06-01,Canada,"Canned salmon, 213 grams",v735168,3.67
307,1995-06-01,Canada,"Homogenized milk, 1 litre",v735169,1.33
308,1995-06-01,Canada,"Partly skimmed milk, 1 litre",v735170,1.29
309,1995-06-01,Canada,"Butter, 454 grams",v735171,2.85
310,1995-06-01,Canada,"Processed cheese slices, 250 grams",v735172,2.55
311,1995-06-01,Canada,"Evaporated milk, 385 millilitres",v735173,1.05
312,1995-06-01,Canada,"Eggs, 1 dozen",v735174,1.59
313,1995-06-01,Canada,"Bread, 675 grams",v735175,1.25
314,1995-06-01,Canada,"Soda crackers, 450 grams",v735177,1.91
315,1995-06-01,Canada,"Macaroni, 500 grams",v735178,1.0
316,1995-06-01,Canada,"Flour, 2.5 kilograms",v735179,3.33
317,1995-06-01,Canada,"Corn flakes, 675 grams",v735180,2.97
318,1995-06-01,Canada,"Apples, 1 kilogram",v735181,2.27
319,1995-06-01,Canada,"Bananas, 1 kilogram",v735182,1.28
320,1995-06-01,Canada,"Grapefruits, 1 kilogram",v735183,1.72
321,1995-06-01,Canada,"Oranges, 1 kilogram",v735184,1.67
322,1995-06-01,Canada,"Apple juice, 1.36 litres",v735185,1.43
323,1995-06-01,Canada,"Orange juice, 1 litre",v735186,1.65
324,1995-06-01,Canada,"Cabbage, 1 kilogram",v735188,1.48
325,1995-06-01,Canada,"Carrots, 1 kilogram",v735189,1.77
326,1995-06-01,Canada,"Celery, 1 kilogram",v735190,2.2
327,1995-06-01,Canada,"Mushrooms, 1 kilogram",v735191,5.98
328,1995-06-01,Canada,"Onions, 1 kilogram",v735192,1.4
329,1995-06-01,Canada,"Potatoes, 4.54 kilograms",v735193,3.58
330,1995-06-01,Canada,"French fried potatoes, frozen, 1 kilogram",v735194,1.68
331,1995-06-01,Canada,"Baked beans, canned, 398 millilitres",v735195,0.8
332,1995-06-01,Canada,"Tomatoes, canned, 796 millilitres",v735196,1.25
333,1995-06-01,Canada,"Tomato juice, 1.36 litres",v735197,1.43
334,1995-06-01,Canada,"Ketchup, 1 litre",v735199,2.19
335,1995-06-01,Canada,"Sugar, white, 2 kilograms",v735200,1.95
336,1995-06-01,Canada,"Coffee, roasted, 300 grams",v735201,4.03
337,1995-06-01,Canada,"Coffee, instant, 200 grams",v735202,6.85
338,1995-06-01,Canada,Tea (72 bags),v735203,2.69
339,1995-06-01,Canada,"Cooking or salad oil, 1 litre",v735204,3.07
340,1995-06-01,Canada,"Soup, canned, 284 millilitres",v735205,0.73
342,1995-06-01,Canada,"Peanut butter, 500 grams",v735207,2.58
343,1995-06-01,Canada,"Fruit flavoured crystals, 2.25 litres",v735208,1.24
344,1995-06-01,Canada,"Soft drinks, cola type, 2 litres",v735210,1.26
345,1995-06-01,Canada,"Soft drinks, lemon-lime type, 2 litres",v735211,1.39
354,1995-07-01,Canada,"Round steak, 1 kilogram",v735165,10.26
355,1995-07-01,Canada,"Sirloin steak, 1 kilogram",v735176,12.07
356,1995-07-01,Canada,"Prime rib roast, 1 kilogram",v735187,12.43
357,1995-07-01,Canada,"Blade roast, 1 kilogram",v735198,6.94
358,1995-07-01,Canada,"Stewing beef, 1 kilogram",v735209,7.22
359,1995-07-01,Canada,"Ground beef, 1 kilogram",v735220,3.72
360,1995-07-01,Canada,"Pork chops, 1 kilogram",v735221,8.66
361,1995-07-01,Canada,"Butt roast, 1 kilogram",v735222,5.07
362,1995-07-01,Canada,"Chicken, 1 kilogram",v735223,3.7
363,1995-07-01,Canada,"Bacon, 500 grams",v735166,2.76
364,1995-07-01,Canada,"Wieners, 450 grams",v735167,2.29
365,1995-07-01,Canada,"Canned salmon, 213 grams",v735168,3.65
366,1995-07-01,Canada,"Homogenized milk, 1 litre",v735169,1.32
367,1995-07-01,Canada,"Partly skimmed milk, 1 litre",v735170,1.29
368,1995-07-01,Canada,"Butter, 454 grams",v735171,2.84
369,1995-07-01,Canada,"Processed cheese slices, 250 grams",v735172,2.54
370,1995-07-01,Canada,"Evaporated milk, 385 millilitres",v735173,1.04
371,1995-07-01,Canada,"Eggs, 1 dozen",v735174,1.6
372,1995-07-01,Canada,"Bread, 675 grams",v735175,1.24
373,1995-07-01,Canada,"Soda crackers, 450 grams",v735177,1.93
374,1995-07-01,Canada,"Macaroni, 500 grams",v735178,0.99
375,1995-07-01,Canada,"Flour, 2.5 kilograms",v735179,3.33
376,1995-07-01,Canada,"Corn flakes, 675 grams",v735180,2.99
377,1995-07-01,Canada,"Apples, 1 kilogram",v735181,2.37
378,1995-07-01,Canada,"Bananas, 1 kilogram",v735182,1.43
379,1995-07-01,Canada,"Grapefruits, 1 kilogram",v735183,1.86
380,1995-07-01,Canada,"Oranges, 1 kilogram",v735184,1.92
381,1995-07-01,Canada,"Apple juice, 1.36 litres",v735185,1.45
382,1995-07-01,Canada,"Orange juice, 1 litre",v735186,1.67
383,1995-07-01,Canada,"Cabbage, 1 kilogram",v735188,0.92
384,1995-07-01,Canada,"Carrots, 1 kilogram",v735189,1.68
385,1995-07-01,Canada,"Celery, 1 kilogram",v735190,1.57
386,1995-07-01,Canada,"Mushrooms, 1 kilogram",v735191,5.75
387,1995-07-01,Canada,"Onions, 1 kilogram",v735192,1.54
388,1995-07-01,Canada,"Potatoes, 4.54 kilograms",v735193,4.37
389,1995-07-01,Canada,"French fried potatoes, frozen, 1 kilogram",v735194,1.67
390,1995-07-01,Canada,"Baked beans, canned, 398 millilitres",v735195,0.79
391,1995-07-01,Canada,"Tomatoes, canned, 796 millilitres",v735196,1.26
392,1995-07-01,Canada,"Tomato juice, 1.36 litres",v735197,1.45
393,1995-07-01,Canada,"Ketchup, 1 litre",v735199,2.23
394,1995-07-01,Canada,"Sugar, white, 2 kilograms",v735200,1.95
395,1995-07-01,Canada,"Coffee, roasted, 300 grams",v735201,3.97
396,1995-07-01,Canada,"Coffee, instant, 200 grams",v735202,6.84
397,1995-07-01,Canada,Tea (72 bags),v735203,2.66
398,1995-07-01,Canada,"Cooking or salad oil, 1 litre",v735204,3.02
399,1995-07-01,Canada,"Soup, canned, 284 millilitres",v735205,0.73
401,1995-07-01,Canada,"Peanut butter, 500 grams",v735207,2.57
402,1995-07-01,Canada,"Fruit flavoured crystals, 2.25 litres",v735208,1.29
403,1995-07-01,Canada,"Soft drinks, cola type, 2 litres",v735210,1.29
404,1995-07-01,Canada,"Soft drinks, lemon-lime type, 2 litres",v735211,1.4
413,1995-08-01,Canada,"Round steak, 1 kilogram",v735165,10.07
414,1995-08-01,Canada,"Sirloin steak, 1 kilogram",v735176,11.8
415,1995-08-01,Canada,"Prime rib roast, 1 kilogram",v735187,12.81
416,1995-08-01,Canada,"Blade roast, 1 kilogram",v735198,6.78
417,1995-08-01,Canada,"Stewing beef, 1 kilogram",v735209,7.12
418,1995-08-01,Canada,"Ground beef, 1 kilogram",v735220,3.7
419,1995-08-01,Canada,"Pork chops, 1 kilogram",v735221,9.11
420,1995-08-01,Canada,"Butt roast, 1 kilogram",v735222,5.24
421,1995-08-01,Canada,"Chicken, 1 kilogram",v735223,3.7
422,1995-08-01,Canada,"Bacon, 500 grams",v735166,2.78
423,1995-08-01,Canada,"Wieners, 450 grams",v735167,2.29
424,1995-08-01,Canada,"Canned salmon, 213 grams",v735168,3.68
425,1995-08-01,Canada,"Homogenized milk, 1 litre",v735169,1.32
426,1995-08-01,Canada,"Partly skimmed milk, 1 litre",v735170,1.29
427,1995-08-01,Canada,"Butter, 454 grams",v735171,2.84
428,1995-08-01,Canada,"Processed cheese slices, 250 grams",v735172,2.52
429,1995-08-01,Canada,"Evaporated milk, 385 millilitres",v735173,1.03
430,1995-08-01,Canada,"Eggs, 1 dozen",v735174,1.62
431,1995-08-01,Canada,"Bread, 675 grams",v735175,1.25
432,1995-08-01,Canada,"Soda crackers, 450 grams",v735177,1.94
433,1995-08-01,Canada,"Macaroni, 500 grams",v735178,0.99
434,1995-08-01,Canada,"Flour, 2.5 kilograms",v735179,3.4
435,1995-08-01,Canada,"Corn flakes, 675 grams",v735180,2.95
436,1995-08-01,Canada,"Apples, 1 kilogram",v735181,2.44
437,1995-08-01,Canada,"Bananas, 1 kilogram",v735182,1.44
438,1995-08-01,Canada,"Grapefruits, 1 kilogram",v735183,1.92
439,1995-08-01,Canada,"Oranges, 1 kilogram",v735184,2.06
440,1995-08-01,Canada,"Apple juice, 1.36 litres",v735185,1.46
441,1995-08-01,Canada,"Orange juice, 1 litre",v735186,1.67
442,1995-08-01,Canada,"Cabbage, 1 kilogram",v735188,0.73
443,1995-08-01,Canada,"Carrots, 1 kilogram",v735189,1.14
444,1995-08-01,Canada,"Celery, 1 kilogram",v735190,1.17
445,1995-08-01,Canada,"Mushrooms, 1 kilogram",v735191,5.79
446,1995-08-01,Canada,"Onions, 1 kilogram",v735192,1.44
447,1995-08-01,Canada,"Potatoes, 4.54 kilograms",v735193,3.44
448,1995-08-01,Canada,"French fried potatoes, frozen, 1 kilogram",v735194,1.71
449,1995-08-01,Canada,"Baked beans, canned, 398 millilitres",v735195,0.79
